Distance_(pixels),Gray_Value
0,210.2000
1,208.5200
2,209.6400
3,212.2000
4,212.2800
5,211.6400
6,212.1400
7,211.1400
8,208.6600
9,209.0000
10,211.4400
11,212.2000
12,210.5000
13,208.7000
14,206.4000
15,200.1600
16,197.6800
17,198.7600
18,197.4800
19,198.5400
20,192.2400
21,186.6000
22,184.4200
23,186.5000
24,190.3000
25,196.9400
26,203.7600
27,206.2200
28,205.0200
29,199.9000
30,190.7000
31,185.0600
32,186.1000
33,187.5200
34,187.7400
35,188.7600
36,188.8400
37,182.8800
38,180.3000
39,182.1000
40,186.8800
41,196.0000
42,204.5400
43,207.0000
44,210.9000
45,209.6800
46,209.8600
47,207.9400
48,205.3000
49,203.0000
